EmpCode,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,Success (Y),Tried (E),Not Tried (N)
702813,09:54 - 16:53,N,09:53 - 16:56,10:26 - 17:04,09:27 - 16:43,09:14 - 16:56,10:08 - 16:51,09:53 - 17:13,N,09:32 - 16:58,10:07 - 16:54,09:48 - 16:34,N,N,N,N,10:19 - 16:53,10:10 - 16:48,10:06 - 17:26,09:57 - 16:59,N,09:41 - 16:51,N,09:52 - 17:13,09:52 - 16:53,10:05 - 17:05,N,09:25 - 17:10,09:57 - 16:51,20,0,9
524896,09:38 - 16:06,N,09:30 - 16:42,09:32 - 16:43,09:39 - 16:42,09:37 - 16:08,12:56 - 16:39,09:38 - 12:27,N,09:36 - 16:49,09:40 - 16:43,09:36 - 16:49,09:35 - 16:20,09:37 - 17:04,09:39 - 12:57,N,09:42 - 16:58,09:40 - 16:12,N,09:42 - 16:42,N,09:41 - 16:23,N,09:40 - 16:46,09:38 - 16:43,09:01 - 16:42,09:37 - 16:46,09:42 - 15:58,09:32 - 12:19,23,0,6
363065,09:43 - 16:42,N,09:49 - 16:51,08:15 - 15:22,09:37 - 16:49,09:36 - 16:42,09:34 - 16:44,09:33 - 17:02,N,09:51 - 16:44,09:41 - 16:44,09:43 - 16:42,08:59 - 15:57,09:44 - 16:47,09:39 - 16:48,N,09:44 - 16:47,08:16 - 14:58,08:26 - 13:55,N,N,N,N,09:38 - 16:45,08:37 - 15:06,09:44 - 16:44,09:08 - 15:59,09:41 - 16:49,09:38 - 16:39,22,0,7
879753,09:47 - 16:41,N,09:45 - 16:54,09:47 - 16:55,09:46 - 16:53,09:47 - 16:52,09:44 - 16:50,09:49 - 17:11,N,09:42 - 16:50,10:06 - 16:51,09:49 - 16:49,09:36 - 16:47,09:39 - 17:04,09:48 - 16:42,N,09:43 - 17:06,09:44 - 16:52,09:48 - 17:20,09:48 - 16:59,N,N,N,09:45 - 17:48,09:45 - 16:53,09:54 - 17:07,09:44 - 16:51,09:52 - 16:57,09:48 - 16:51,23,0,6
958326,10:09 - 17:21,N,10:36 - 17:32,11:42 - 17:21,08:50 - 16:52,10:51 - 16:58,09:09 - 17:36,09:30 - 00:00,N,10:46 - 17:04,10:21 - 17:23,10:32 - 17:32,N,N,10:56 - 16:07,N,10:10 - 16:54,10:37 - 17:48,10:54 - 17:48,09:58 - 00:00,N,09:59 - 17:22,N,10:35 - 18:30,09:54 - 17:45,09:54 - 17:13,10:22 - 17:29,E,09:55 - 17:31,21,1,7
447813,09:36 - 00:00,N,16:42 - 00:00,N,E,N,09:46 - 16:50,16:50 - 00:00,N,E,E,09:47 - 00:00,09:30 - 00:00,09:49 - 00:00,09:27 - 16:46,N,16:40 - 00:00,09:27 - 16:50,09:46 - 16:50,N,N,N,N,09:41 - 16:51,E,16:52 - 00:00,09:44 - 16:52,09:40 - 00:00,N,15,4,10
525955,09:34 - 16:44,N,09:47 - 16:51,16:56 - 00:00,09:49 - 16:51,15:16 - 16:49,09:45 - 16:52,09:50 - 16:51,N,10:01 - 16:45,09:38 - 16:48,N,09:27 - 16:51,09:49 - 16:49,09:45 - 16:45,N,09:35 - 16:51,09:47 - 16:53,09:43 - 17:00,09:38 - 16:52,N,N,N,09:45 - 16:50,09:48 - 16:53,09:46 - 16:46,09:47 - 17:00,09:37 - 16:51,N,21,0,8
818384,09:11 - 16:39,N,08:15 - 15:44,08:10 - 14:58,08:43 - 00:00,08:17 - 00:00,N,09:33 - 13:00,N,08:39 - 00:00,08:07 - 15:04,08:13 - 00:00,08:01 - 14:58,08:07 - 14:58,09:34 - 16:39,N,08:35 - 14:56,08:15 - 15:03,08:15 - 14:58,08:17 - 00:00,N,09:34 - 16:40,N,08:23 - 14:57,08:00 - 15:06,08:06 - 14:57,08:12 - 15:22,08:11 - 15:05,09:22 - 16:37,23,0,6
971640,10:35 - 16:53,N,10:25 - 17:36,11:20 - 17:20,10:29 - 17:40,07:53 - 16:25,10:24 - 16:49,N,N,10:15 - 16:42,10:23 - 16:47,10:32 - 16:36,08:55 - 17:22,10:34 - 17:44,10:07 - 16:42,N,10:47 - 17:28,10:56 - 17:40,10:42 - 17:34,08:44 - 17:23,N,N,N,10:32 - 17:35,10:25 - 17:29,10:32 - 17:20,08:45 - 17:43,09:34 - 17:33,10:47 - 16:47,22,0,7
253573,09:52 - 16:40,N,N,09:44 - 16:50,09:49 - 16:47,09:17 - 16:24,10:01 - 15:32,10:10 - 16:25,N,N,09:33 - 16:45,09:49 - 17:06,09:20 - 16:41,09:45 - 16:46,09:31 - 17:17,N,09:41 - 16:50,09:54 - 17:36,09:49 - 18:06,08:20 - 00:00,N,10:06 - 16:46,N,09:55 - 16:53,N,09:33 - 16:55,08:19 - 00:00,09:43 - 16:48,10:16 - 17:33,21,0,8
